id,path,model_name,hyp_text,score,is_best,ref_text
1,c6c544505d5d69a.mp3,imported_csv,Частка першая: Па слядах здабычы,100.0,True,Частка першая. Па слядах здабычы.
2,75e03a0a9ca0ab4.mp3,imported_csv,Белы клык (апавяданне Джэка Лондана),84.85,False,"Белы клык, аповесць Джэка Лондана."
2,75e03a0a9ca0ab4.mp3,gemini-2.5-flash-lite,Белы клік аповесць Джэка Лондана,96.875,False,"Белы клык, аповесць Джэка Лондана."
2,75e03a0a9ca0ab4.mp3,gemini-2.5-flash,Белы клык. Аповесць Джэка Лондана.,100.0,True,"Белы клык, аповесць Джэка Лондана."
2,75e03a0a9ca0ab4.mp3,imported_gemini-2.5-flash,Белы клык. Аповесць Джэка Лондана.,100.0,False,"Белы клык, аповесць Джэка Лондана."
3,a1ac2ff4c75cffc.mp3,imported_csv,"Вецер, які пранёсся нядаўна, сорваў з дрэў белую намароз",95.41284403669725,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,gemini-2.5-flash-lite,"Вячэр, які прынёсся нядаўна, сарваў з дрэў белую намуру.",87.03703703703704,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,gemini-2.5-flash,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,True,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,gemini-3-flash-preview,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,gemini-2.5-pro,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,gemini-3-pro-preview,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,imported_gemini-2.5-flash,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,imported_imported_gemini-2.5-flash,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
3,a1ac2ff4c75cffc.mp3,imported_manual,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",100.0,False,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."
4,e8fa5205643f8ff.mp3,imported_csv,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі.,98.55,False,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.
4,e8fa5205643f8ff.mp3,gemini-2.5-flash-lite,Цёмных ваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.,98.55072463768117,False,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.
4,e8fa5205643f8ff.mp3,gemini-2.5-flash,Цёмных ваявы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі.,95.65217391304348,False,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.
4,e8fa5205643f8ff.mp3,gemini-3-flash-preview,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.,100.0,True,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.
4,e8fa5205643f8ff.mp3,imported_gemini-3-flash-preview,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.,100.0,False,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.
5,859bd94ea248d6d.mp3,imported_csv,Глыбокая цішыня панавала навокал.,100.0,True,Глыбокая цішыня панавала навокал.
